US States	Bangladesh	China	India	Iran	Korea	Pakistan	Philippines	Taiwan	Vietnam	Others	Total
Alabama	9.6	93.6	132	35.2	26.4	19.2	68	16	40.8	347.2	788
Alaska	3.2	44.8	11.2	2.4	32.8	3.2	203.2	7.2	10.4	163.2	481.6
Arizona	32	202.4	184	65.6	88	32.8	176	31.2	76.8	856.8	1745.6
Arkansas	4.8	36.8	47.2	13.6	9.6	8.8	33.6	8	30.4	144.8	337.6
California	490.4	10065.6	5741.6	2917.6	3572.8	1368.8	12961.6	2928	5215.2	23660	68921.6
Colorado	24.8	253.6	174.4	70.4	163.2	40	114.4	29.6	229.6	1252	2352
Connecticut	104	243.2	382.4	44.8	98.4	154.4	144.8	17.6	116	1763.2	3068.8
Delaware	3.2	63.2	112.8	12.8	29.6	20.8	20.8	8	18.4	219.2	508.8
District of Columbia	33.6	89.6	28.8	11.2	12	12	64	2.4	88.8	767.2	1109.6
Florida	248.8	502.4	863.2	232.8	161.6	386.4	669.6	80.8	349.6	10801.6	14296.8
Georgia	141.6	348	705.6	127.2	277.6	204.8	130.4	76	473.6	2600.8	5085.6
Hawaii	6.4	385.6	12.8	4.8	228.8	3.2	2512	38.4	80.8	885.6	4158.4
Idaho	0.8	50.4	23.2	10.4	16	1.6	20	1.6	29.6	142.4	296
Illinois	64	1085.6	2756.8	139.2	498.4	711.2	1080	137.6	244.8	6031.2	12748.8
Indiana	20.8	166.4	300	31.2	73.6	83.2	93.6	30.4	62.4	888.8	1750.4
Iowa	7.2	62.4	103.2	30.4	78.4	15.2	44.8	9.6	174.4	276	801.6
Kansas	11.2	72.8	147.2	40	40.8	47.2	62.4	22.4	223.2	434.4	1101.6
Kentucky	12.8	57.6	95.2	36.8	25.6	18.4	40	6.4	156	600.8	1049.6
Louisiana	13.6	75.2	103.2	16	20	48	56	10.4	160.8	499.2	1002.4
Maine	0.8	64	32.8	0.8	10.4	7.2	7.2	0.8	18.4	208.8	351.2
Maryland	121.6	557.6	886.4	290.4	560.8	360	500	147.2	200.8	4273.6	7898.4
Massachusetts	60	1084	766.4	126.4	160.8	180	143.2	107.2	354.4	5334.4	8316.8
Michigan	236.8	445.6	1187.2	94.4	244	255.2	264	76	164.8	5189.6	8157.6
Minnesota	16.8	216	364	56.8	143.2	54.4	124.8	34.4	262.4	2740.8	4013.6
Mississippi	5.6	55.2	75.2	2.4	4	14.4	51.2	5.6	24.8	139.2	377.6
Missouri	12.8	157.6	216.8	44	53.6	52	111.2	36	147.2	1038.4	1869.6
Montana	0.8	33.6	6.4	3.2	3.2	0	13.6	0.8	4.8	73.6	140
Nebraska	0	41.6	70.4	4.8	48.8	5.6	28.8	1.6	56.8	180	438.4
Nevada	21.6	184.8	116	34.4	64	36.8	569.6	33.6	76	655.2	1792
New Hampshire	0	58.4	72.8	8	40.8	16	44.8	4.8	31.2	281.6	558.4
New Jersey	408.8	1054.4	3427.2	113.6	748.8	806.4	1318.4	306.4	216.8	6904	15304.8
New Mexico	1.6	60.8	92.8	20.8	19.2	20	25.6	14.4	34.4	180	469.6
New York	3836	7080	3213.6	285.6	1159.2	3120	1192	402.4	516.8	23923.2	44728.8
North Carolina	36	254.4	494.4	68.8	132.8	150.4	120.8	43.2	248	1593.6	3142.4
North Dakota	1.6	7.2	32.8	1.6	1.6	4.8	7.2	0.8	12.8	185.6	256
Ohio	38.4	394.4	720	92	120.8	112.8	176.8	95.2	210.4	2536	4496.8
Oklahoma	31.2	76.8	163.2	45.6	42.4	52	48	10.4	104.8	333.6	908
Oregon	7.2	328.8	191.2	57.6	161.6	16	132	30.4	292	1126.4	2343.2
Pennsylvania	131.2	750.4	901.6	103.2	394.4	186.4	212	72	468.8	3196.8	6416.8
Rhode Island	5.6	58.4	49.6	12.8	16	7.2	30.4	3.2	12	614.4	809.6
South Carolina	1.6	76.8	145.6	16.8	40.8	45.6	76.8	12	50.4	542.4	1008.8
South Dakota	0	10.4	6.4	0.8	12	0.8	15.2	0	4.8	144	194.4
Tennessee	20	118.4	232.8	44.8	57.6	30.4	48	22.4	94.4	818.4	1487.2
Texas	409.6	927.2	2130.4	409.6	313.6	843.2	680.8	361.6	1260.8	4473.6	11810.4
Utah	4	96	80.8	68	31.2	23.2	57.6	20	106.4	877.6	1364.8
Vermont	0	24	42.4	4	17.6	2.4	4.8	0	10.4	182.4	288
Virginia	224	418.4	728	241.6	555.2	711.2	736.8	83.2	548.8	4544	8791.2
Washington	18.4	674.4	479.2	168	629.6	95.2	927.2	236.8	752	3492	7472.8
West Virginia	0.8	18.4	52	8	8	8.8	16	3.2	1.6	108.8	225.6
Wisconsin	8.8	187.2	251.2	34.4	47.2	74.4	84.8	40	40	1024.8	1792.8
Wyoming	0	8	12	0.8	4.8	2.4	5.6	0	1.6	28.8	64
Guam	0	43.2	8	0	106.4	0	1205.6	9.6	7.2	78.4	1458.4
Northern Mariana Islands	0	8	0.8	0	2.4	0	60.8	0	0	9.6	81.6
Puerto Rico	1.6	28.8	0.8	0	0	0.8	0.8	0.8	0.8	184	218.4
U.S. Virgin Islands	0	4	9.6	0	0	0	4.8	0	0	464.8	483.2
											
Values are decreased by 20% from the original dataset.											
