US States	Bangladesh	China	India	Iran	Korea	Pakistan	Philippines	Taiwan	Vietnam	Others	Total
Alabama	37.2	362.7	511.5	136.4	102.3	74.4	263.5	62	158.1	1345.4	3053.5
Alaska	12.4	173.6	43.4	9.3	127.1	12.4	787.4	27.9	40.3	632.4	1866.2
Arizona	124	784.3	713	254.2	341	127.1	682	120.9	297.6	3320.1	6764.2
Arkansas	18.6	142.6	182.9	52.7	37.2	34.1	130.2	31	117.8	561.1	1308.2
California	1900.3	39004.2	22248.7	11305.7	13844.6	5304.1	50226.2	11346	20208.9	91682.5	267071.2
Colorado	96.1	982.7	675.8	272.8	632.4	155	443.3	114.7	889.7	4851.5	9114
Connecticut	403	942.4	1481.8	173.6	381.3	598.3	561.1	68.2	449.5	6832.4	11891.6
Delaware	12.4	244.9	437.1	49.6	114.7	80.6	80.6	31	71.3	849.4	1971.6
District of Columbia	130.2	347.2	111.6	43.4	46.5	46.5	248	9.3	344.1	2972.9	4299.7
Florida	964.1	1946.8	3344.9	902.1	626.2	1497.3	2594.7	313.1	1354.7	41856.2	55400.1
Georgia	548.7	1348.5	2734.2	492.9	1075.7	793.6	505.3	294.5	1835.2	10078.1	19706.7
Hawaii	24.8	1494.2	49.6	18.6	886.6	12.4	9734	148.8	313.1	3431.7	16113.8
Idaho	3.1	195.3	89.9	40.3	62	6.2	77.5	6.2	114.7	551.8	1147
Illinois	248	4206.7	10682.6	539.4	1931.3	2755.9	4185	533.2	948.6	23370.9	49401.6
Indiana	80.6	644.8	1162.5	120.9	285.2	322.4	362.7	117.8	241.8	3444.1	6782.8
Iowa	27.9	241.8	399.9	117.8	303.8	58.9	173.6	37.2	675.8	1069.5	3106.2
Kansas	43.4	282.1	570.4	155	158.1	182.9	241.8	86.8	864.9	1683.3	4268.7
Kentucky	49.6	223.2	368.9	142.6	99.2	71.3	155	24.8	604.5	2328.1	4067.2
Louisiana	52.7	291.4	399.9	62	77.5	186	217	40.3	623.1	1934.4	3884.3
Maine	3.1	248	127.1	3.1	40.3	27.9	27.9	3.1	71.3	809.1	1360.9
Maryland	471.2	2160.7	3434.8	1125.3	2173.1	1395	1937.5	570.4	778.1	16560.2	30606.3
Massachusetts	232.5	4200.5	2969.8	489.8	623.1	697.5	554.9	415.4	1373.3	20670.8	32227.6
Michigan	917.6	1726.7	4600.4	365.8	945.5	988.9	1023	294.5	638.6	20109.7	31610.7
Minnesota	65.1	837	1410.5	220.1	554.9	210.8	483.6	133.3	1016.8	10620.6	15552.7
Mississippi	21.7	213.9	291.4	9.3	15.5	55.8	198.4	21.7	96.1	539.4	1463.2
Missouri	49.6	610.7	840.1	170.5	207.7	201.5	430.9	139.5	570.4	4023.8	7244.7
Montana	3.1	130.2	24.8	12.4	12.4	0	52.7	3.1	18.6	285.2	542.5
Nebraska	0	161.2	272.8	18.6	189.1	21.7	111.6	6.2	220.1	697.5	1698.8
Nevada	83.7	716.1	449.5	133.3	248	142.6	2207.2	130.2	294.5	2538.9	6944
New Hampshire	0	226.3	282.1	31	158.1	62	173.6	18.6	120.9	1091.2	2163.8
New Jersey	1584.1	4085.8	13280.4	440.2	2901.6	3124.8	5108.8	1187.3	840.1	26753	59306.1
