US States,Bangladesh,China,India,Iran,Korea,Pakistan,Philippines,Taiwan,Vietnam,Others,Total
Alabama,37,363,512,136,102,74,264,62,158,1345,3054
Alaska,12,174,43,9,127,12,787,28,40,632,1866
Arizona,124,784,713,254,341,127,682,121,298,3320,6764
Arkansas,19,143,183,53,37,34,130,31,118,561,1308
California,1900,39004,22249,11306,13845,5304,50226,11346,20209,91683,267071
Colorado,96,983,676,273,632,155,443,115,890,4852,9114
Connecticut,403,942,1482,174,381,598,561,68,450,6832,11892
Delaware,12,245,437,50,115,81,81,31,71,849,1972
District of Columbia,130,347,112,43,47,47,248,9,344,2973,4300
Florida,964,1947,3345,902,626,1497,2595,313,1355,41856,55400
Georgia,549,1349,2734,493,1076,794,505,295,1835,10078,19707
Hawaii,25,1494,50,19,887,12,9734,149,313,3432,16114
Idaho,3,195,90,40,62,6,78,6,115,552,1147
Illinois,248,4207,10683,539,1931,2756,4185,533,949,23371,49402
Indiana,81,645,1163,121,285,322,363,118,242,3444,6783
Iowa,28,242,400,118,304,59,174,37,676,1070,3106
Kansas,43,282,570,155,158,183,242,87,865,1683,4269
Kentucky,50,223,369,143,99,71,155,25,605,2328,4067
Louisiana,53,291,400,62,78,186,217,40,623,1934,3884
Maine,3,248,127,3,40,28,28,3,71,809,1361
Maryland,471,2161,3435,1125,2173,1395,1938,570,778,16560,30606
Massachusetts,233,4201,2970,490,623,698,555,415,1373,20671,32228
Michigan,918,1727,4600,366,946,989,1023,295,639,20110,31611
Minnesota,65,837,1411,220,555,211,484,133,1017,10621,15553
Mississippi,22,214,291,9,16,56,198,22,96,539,1463
Missouri,50,611,840,171,208,202,431,140,570,4024,7245
Montana,3,130,25,12,12,0,53,3,19,285,543
Nebraska,0,161,273,19,189,22,112,6,220,698,1699
Nevada,84,716,450,133,248,143,2207,130,295,2539,6944
New Hampshire,0,226,282,31,158,62,174,19,121,1091,2164
New Jersey,1584,4086,13280,440,2902,3125,5109,1187,840,26753,59306
New Mexico,6,236,360,81,74,78,99,56,133,698,1820
New York,14865,27435,12453,1107,4492,12090,4619,1559,2003,92702,173324
North Carolina,140,986,1916,267,515,583,468,167,961,6175,12177
North Dakota,6,28,127,6,6,19,28,3,50,719,992
Ohio,149,1528,2790,357,468,437,685,369,815,9827,17425
Oklahoma,121,298,632,177,164,202,186,40,406,1293,3519
Oregon,28,1274,741,223,626,62,512,118,1132,4365,9080
Pennsylvania,508,2908,3494,400,1528,722,822,279,1817,12388,24865
Rhode Island,22,226,192,50,62,28,118,12,47,2381,3137
South Carolina,6,298,564,65,158,177,298,47,195,2102,3909
South Dakota,0,40,25,3,47,3,59,0,19,558,753
Tennessee,78,459,902,174,223,118,186,87,366,3171,5763
Texas,1587,3593,8255,1587,1215,3267,2638,1401,4886,17335,45765
Utah,16,372,313,264,121,90,223,78,412,3401,5289
Vermont,0,93,164,16,68,9,19,0,40,707,1116
Virginia,868,1621,2821,936,2151,2756,2855,322,2127,17608,34066
Washington,71,2613,1857,651,2440,369,3593,918,2914,13532,28957
West Virginia,3,71,202,31,31,34,62,12,6,422,874
Wisconsin,34,725,973,133,183,288,329,155,155,3971,6947
Wyoming,0,31,47,3,19,9,22,0,6,112,248
Guam,0,167,31,0,412,0,4672,37,28,304,5651
Northern Mariana Islands,0,31,3,0,9,0,236,0,0,37,316
Puerto Rico,6,112,3,0,0,3,3,3,3,713,846
U.S. Virgin Islands,0,16,37,0,0,0,19,0,0,1801,1872
