US States,Bangladesh,China,India,Iran,Korea,Pakistan,Philippines,Taiwan,Vietnam,Others,Total
Alabama,10,94,132,35,26,19,68,16,41,347,788
Alaska,3,45,11,2,33,3,203,7,10,163,482
Arizona,32,202,184,66,88,33,176,31,77,857,1746
Arkansas,5,37,47,14,10,9,34,8,30,145,338
California,490,10066,5742,2918,3573,1369,12962,2928,5215,23660,68922
Colorado,25,254,174,70,163,40,114,30,230,1252,2352
Connecticut,104,243,382,45,98,154,145,18,116,1763,3069
Delaware,3,63,113,13,30,21,21,8,18,219,509
District of Columbia,34,90,29,11,12,12,64,2,89,767,1110
Florida,249,502,863,233,162,386,670,81,350,10802,14297
Georgia,142,348,706,127,278,205,130,76,474,2601,5086
Hawaii,6,386,13,5,229,3,2512,38,81,886,4158
Idaho,1,50,23,10,16,2,20,2,30,142,296
Illinois,64,1086,2757,139,498,711,1080,138,245,6031,12749
Indiana,21,166,300,31,74,83,94,30,62,889,1750
Iowa,7,62,103,30,78,15,45,10,174,276,802
Kansas,11,73,147,40,41,47,62,22,223,434,1102
Kentucky,13,58,95,37,26,18,40,6,156,601,1050
Louisiana,14,75,103,16,20,48,56,10,161,499,1002
Maine,1,64,33,1,10,7,7,1,18,209,351
Maryland,122,558,886,290,561,360,500,147,201,4274,7898
Massachusetts,60,1084,766,126,161,180,143,107,354,5334,8317
Michigan,237,446,1187,94,244,255,264,76,165,5190,8158
Minnesota,17,216,364,57,143,54,125,34,262,2741,4014
Mississippi,6,55,75,2,4,14,51,6,25,139,378
Missouri,13,158,217,44,54,52,111,36,147,1038,1870
Montana,1,34,6,3,3,0,14,1,5,74,140
Nebraska,0,42,70,5,49,6,29,2,57,180,438
Nevada,22,185,116,34,64,37,570,34,76,655,1792
New Hampshire,0,58,73,8,41,16,45,5,31,282,558
New Jersey,409,1054,3427,114,749,806,1318,306,217,6904,15305
New Mexico,2,61,93,21,19,20,26,14,34,180,470
New York,3836,7080,3214,286,1159,3120,1192,402,517,23923,44729
North Carolina,36,254,494,69,133,150,121,43,248,1594,3142
North Dakota,2,7,33,2,2,5,7,1,13,186,256
Ohio,38,394,720,92,121,113,177,95,210,2536,4497
Oklahoma,31,77,163,46,42,52,48,10,105,334,908
Oregon,7,329,191,58,162,16,132,30,292,1126,2343
Pennsylvania,131,750,902,103,394,186,212,72,469,3197,6417
Rhode Island,6,58,50,13,16,7,30,3,12,614,810
South Carolina,2,77,146,17,41,46,77,12,50,542,1009
South Dakota,0,10,6,1,12,1,15,0,5,144,194
Tennessee,20,118,233,45,58,30,48,22,94,818,1487
Texas,410,927,2130,410,314,843,681,362,1261,4474,11810
Utah,4,96,81,68,31,23,58,20,106,878,1365
Vermont,0,24,42,4,18,2,5,0,10,182,288
Virginia,224,418,728,242,555,711,737,83,549,4544,8791
Washington,18,674,479,168,630,95,927,237,752,3492,7473
West Virginia,1,18,52,8,8,9,16,3,2,109,226
Wisconsin,9,187,251,34,47,74,85,40,40,1025,1793
Wyoming,0,8,12,1,5,2,6,0,2,29,64
Guam,0,43,8,0,106,0,1206,10,7,78,1458
Northern Mariana Islands,0,8,1,0,2,0,61,0,0,10,82
Puerto Rico,2,29,1,0,0,1,1,1,1,184,218
U.S. Virgin Islands,0,4,10,0,0,0,5,0,0,465,483
